Oh no, me he caído! Me duele la cadera.;No te preocupes, estoy aquí para ayudarte. ¿Puedes ponerte de pie?
Me duele el pecho y me siento mareado.; Mantén la calma. Podría ser un signo de un problema cardíaco. Llamaré a una ambulancia de inmediato.
Tengo una fuerte presión en el pecho y sudores fríos.; Por favor, siéntate y trata de mantener la calma. Esto podría ser un signo de un ataque al corazón. Llamaré para pedir ayuda.
No me siento bien, siento dolor en el pecho.; Mantén la calma. Siéntate y trata de respirar profundamente. Llamaré a una ambulancia de inmediato.
Me siento débil y tengo dificultad para respirar.; Eso suena preocupante. Por favor, siéntate y trata de relajarte. Llamaré a una ambulancia inmediatamente.
Siento un dolor punzante en el pecho y falta de aliento.; Por favor, siéntate y trata de relajarte. Esto podría ser un signo de un ataque al corazón. Llamaré para obtener asistencia médica.
Tengo un fuerte dolor en el pecho y sudores fríos.; Por favor, mantén la calma. Llamaré para obtener asistencia médica. Intenta respirar profundamente y no te muevas.
Me duele el pecho y tengo dificultades para respirar.; Esto podría ser un signo de un problema cardíaco. Por favor, siéntate y trata de mantener la calma. Llamaré para obtener ayuda.
Siento un dolor agudo en el pecho y mareos.; Por favor, mantén la calma. Solicitaré asistencia médica. Intenta respirar profundamente y no te muevas.
No me siento bien, tengo sudores fríos y dolor en el pecho.; Mantén la calma. Esto podría ser un signo de un problema cardíaco. Llamaré a una ambulancia de inmediato.
Tengo un fuerte dolor en el pecho y dificultad para respirar.; Por favor, siéntate y trata de mantener la calma.
Me resbalé y me lastimé la cadera.; No te preocupes, estoy aquí para ayudarte. ¿Puedes intentar ponerte de pie?
No puedo levantarme, me duele mucho la cadera.; Contactaré a los servicios de emergencia. Por favor, mantén la calma y evita moverte.
¡Ayuda! Me he caído en el baño y me duele la cadera.; Entendido. Por favor, trata de mantenerte tranquilo. ¿Puedes intentar ponerte de pie?
Me resbalé y me lastimé la cadera.; No te preocupes, estoy aquí para ayudarte. ¿Puedes intentar ponerte de pie?
No puedo levantarme, me duele mucho la cadera.; Entiendo. Es esencial mantener la calma. Contactaré a los servicios de emergencia. Por favor, evita moverte.
Me siento mareado y sin aliento.; Por favor, siéntate y respira profundamente. Llamaré a asistencia médica de inmediato.
Tengo dificultad para respirar y siento que el pecho me aprieta.; Espera, notificaré a los servicios de emergencia. Mantén la calma e intenta respirar profundamente.
¡Algo anda mal! Tengo un dolor agudo en mi brazo izquierdo.; Mantén la calma. Podría indicar un problema cardíaco. Solicitaré asistencia médica inmediata.
Tengo un fuerte dolor en el pecho y problemas para respirar.; Esto podría ser un signo de un ataque al corazón. Por favor, siéntate y trata de relajarte. Llamaré a una ambulancia de inmediato.
Experimento una intensa presión en el pecho y sudores fríos.; Por favor, mantén la calma. Solicitaré asistencia médica. Intenta respirar profundamente y evita moverte.
No me siento bien, tengo dolor en el pecho.; Mantén la calma. Siéntate y trata de respirar profundamente. Llamaré a los servicios de emergencia de inmediato.
¡Ayúdame! Siento un dolor punzante en el pecho.; Por favor, trata de mantener la calma. Podría ser un ataque al corazón. Estoy contactando a los servicios de emergencia de inmediato.
Me siento mareado y tengo dificultad para respirar.; Eso suena preocupante. Por favor, siéntate y respira profundamente. Llamaré a asistencia médica de inmediato.
¡Siento un dolor muy fuerte en el pecho!; Por favor, mantén la calma. Podría ser un signo de un ataque al corazón. Estoy llamando para obtener asistencia de emergencia de inmediato.
Me duele el pecho y me siento mareado.; Por favor, siéntate y respira profundamente. Esto podría ser un signo de un problema cardíaco. Llamaré a una ambulancia.
Tengo un fuerte dolor en el pecho y hormigueo en mi brazo izquierdo.; Esto suena como un posible ataque al corazón. Por favor, quédate quieto. Solicitaré asistencia de emergencia de inmediato.
Me duele el pecho y me siento mareado.; Mantén la calma. Podría ser un signo de un problema cardíaco. Llamaré a una ambulancia de inmediato.
Tengo una fuerte presión en el pecho y sudores fríos.; Por favor, siéntate y trata de mantener la calma. Esto podría ser un signo de un ataque al corazón. Llamaré para obtener asistencia médica.
No me siento bien, tengo dolor en el pecho.; Mantén la calma. Siéntate y trata de respirar profundamente. Llamaré a los servicios de emergencia de inmediato.
